
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1620
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1521           0.0.0.0:0              LISTENING       54016
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       6296
  TCP    0.0.0.0:2631           0.0.0.0:0              LISTENING       8316
  TCP    0.0.0.0:4369           0.0.0.0:0              LISTENING       8224
  TCP    0.0.0.0:5001           0.0.0.0:0              LISTENING       5844
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       14216
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5672           0.0.0.0:0              LISTENING       6800
  TCP    0.0.0.0:8000           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:8080           0.0.0.0:0              LISTENING       54016
  TCP    0.0.0.0:8081           0.0.0.0:0              LISTENING       25072
  TCP    0.0.0.0:9000           0.0.0.0:0              LISTENING       27856
  TCP    0.0.0.0:15672          0.0.0.0:0              LISTENING       6800
  TCP    0.0.0.0:25672          0.0.0.0:0              LISTENING       6800
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1116
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       2152
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2448
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       4832
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       1220
  TCP    0.0.0.0:49671          0.0.0.0:0              LISTENING       1220
  TCP    0.0.0.0:49672          0.0.0.0:0              LISTENING       1188
  TCP    0.0.0.0:49674          0.0.0.0:0              LISTENING       6068
  TCP    0.0.0.0:57889          0.0.0.0:0              LISTENING       38796
  TCP    0.0.0.0:57910          0.0.0.0:0              LISTENING       40992
  TCP    0.0.0.0:57946          0.0.0.0:0              LISTENING       5000
  TCP    0.0.0.0:63270          0.0.0.0:0              LISTENING       24032
  TCP    0.0.0.0:63298          0.0.0.0:0              LISTENING       60608
  TCP    10.0.75.1:139          0.0.0.0:0              LISTENING       4
  TCP    10.0.75.1:4369         10.0.75.1:56851        TIME_WAIT       0
  TCP    10.0.75.1:4369         10.0.75.1:56986        TIME_WAIT       0
  TCP    127.0.0.1:1023         0.0.0.0:0              LISTENING       6024
  TCP    127.0.0.1:4200         0.0.0.0:0              LISTENING       47828
  TCP    127.0.0.1:4200         127.0.0.1:54993        ESTABLISHED     47828
  TCP    127.0.0.1:4200         127.0.0.1:55050        ESTABLISHED     47828
  TCP    127.0.0.1:4200         127.0.0.1:55928        ESTABLISHED     47828
  TCP    127.0.0.1:4369         127.0.0.1:49675        ESTABLISHED     8224
  TCP    127.0.0.1:9001         0.0.0.0:0              LISTENING       23580
  TCP    127.0.0.1:9001         127.0.0.1:60899        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:60900        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:60901        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:60902        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:60903        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:60904        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:60905        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:60906        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:60907        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:60908        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:60909        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:60910        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:60911        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:61074        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:61075        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:61076        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:61077        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:61078        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:61079        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:61080        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:61081        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:61082        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:61083        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:61084        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:61085        ESTABLISHED     23580
  TCP    127.0.0.1:9001         127.0.0.1:61086        ESTABLISHED     23580
  TCP    127.0.0.1:9092         0.0.0.0:0              LISTENING       27856
  TCP    127.0.0.1:9092         127.0.0.1:54326        ESTABLISHED     27856
  TCP    127.0.0.1:9092         127.0.0.1:55328        ESTABLISHED     27856
  TCP    127.0.0.1:9092         127.0.0.1:56010        ESTABLISHED     27856
  TCP    127.0.0.1:9092         127.0.0.1:56246        ESTABLISHED     27856
  TCP    127.0.0.1:11159        0.0.0.0:0              LISTENING       24032
  TCP    127.0.0.1:32000        0.0.0.0:0              LISTENING       22552
  TCP    127.0.0.1:43754        0.0.0.0:0              LISTENING       38796
  TCP    127.0.0.1:49675        127.0.0.1:4369         ESTABLISHED     6800
  TCP    127.0.0.1:50291        0.0.0.0:0              LISTENING       18284
  TCP    127.0.0.1:54326        127.0.0.1:9092         ESTABLISHED     22740
  TCP    127.0.0.1:54993        127.0.0.1:4200         ESTABLISHED     30968
  TCP    127.0.0.1:55050        127.0.0.1:4200         ESTABLISHED     38760
  TCP    127.0.0.1:55328        127.0.0.1:9092         ESTABLISHED     27856
  TCP    127.0.0.1:55400        127.0.0.1:55401        ESTABLISHED     27992
  TCP    127.0.0.1:55401        127.0.0.1:55400        ESTABLISHED     27992
  TCP    127.0.0.1:55402        127.0.0.1:55403        ESTABLISHED     27992
  TCP    127.0.0.1:55403        127.0.0.1:55402        ESTABLISHED     27992
  TCP    127.0.0.1:55928        127.0.0.1:4200         ESTABLISHED     30968
  TCP    127.0.0.1:56010        127.0.0.1:9092         ESTABLISHED     22740
  TCP    127.0.0.1:56246        127.0.0.1:9092         ESTABLISHED     27856
  TCP    127.0.0.1:56538        127.0.0.1:56539        TIME_WAIT       0
  TCP    127.0.0.1:56540        127.0.0.1:56541        TIME_WAIT       0
  TCP    127.0.0.1:56734        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56736        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56744        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56746        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56756        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56758        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56766        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56768        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56776        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56778        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56787        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56789        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56804        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56806        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56814        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56816        0.0.0.0:0              LISTENING       54016
  TCP    127.0.0.1:56819        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56826        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56829        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56837        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56846        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56853        127.0.0.1:4369         TIME_WAIT       0
  TCP    127.0.0.1:56856        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56858        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56867        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56869        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56878        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56880        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56888        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56890        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56898        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56900        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56908        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56910        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56918        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56919        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56927        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56929        127.0.0.1:56930        TIME_WAIT       0
  TCP    127.0.0.1:56931        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56945        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56950        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56958        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56960        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56968        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56970        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56978        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56980        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56989        127.0.0.1:4369         TIME_WAIT       0
  TCP    127.0.0.1:56990        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:56993        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:57000        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:57003        127.0.0.1:9001         TIME_WAIT       0
  TCP    127.0.0.1:57707        0.0.0.0:0              LISTENING       6096
  TCP    127.0.0.1:57889        127.0.0.1:57890        ESTABLISHED     38796
  TCP    127.0.0.1:57890        127.0.0.1:57889        ESTABLISHED     40992
  TCP    127.0.0.1:57910        127.0.0.1:57915        ESTABLISHED     40992
  TCP    127.0.0.1:57915        127.0.0.1:57910        ESTABLISHED     60356
  TCP    127.0.0.1:60733        127.0.0.1:60734        ESTABLISHED     23580
  TCP    127.0.0.1:60734        127.0.0.1:60733        ESTABLISHED     23580
  TCP    127.0.0.1:60735        127.0.0.1:60736        ESTABLISHED     23580
  TCP    127.0.0.1:60736        127.0.0.1:60735        ESTABLISHED     23580
  TCP    127.0.0.1:60737        127.0.0.1:60738        ESTABLISHED     23580
  TCP    127.0.0.1:60738        127.0.0.1:60737        ESTABLISHED     23580
  TCP    127.0.0.1:60739        127.0.0.1:60740        ESTABLISHED     23580
  TCP    127.0.0.1:60740        127.0.0.1:60739        ESTABLISHED     23580
  TCP    127.0.0.1:60741        127.0.0.1:60742        ESTABLISHED     23580
  TCP    127.0.0.1:60742        127.0.0.1:60741        ESTABLISHED     23580
  TCP    127.0.0.1:60743        127.0.0.1:60744        ESTABLISHED     23580
  TCP    127.0.0.1:60744        127.0.0.1:60743        ESTABLISHED     23580
  TCP    127.0.0.1:60745        127.0.0.1:60746        ESTABLISHED     23580
  TCP    127.0.0.1:60746        127.0.0.1:60745        ESTABLISHED     23580
  TCP    127.0.0.1:60747        127.0.0.1:60748        ESTABLISHED     23580
  TCP    127.0.0.1:60748        127.0.0.1:60747        ESTABLISHED     23580
  TCP    127.0.0.1:60749        127.0.0.1:60750        ESTABLISHED     23580
  TCP    127.0.0.1:60750        127.0.0.1:60749        ESTABLISHED     23580
  TCP    127.0.0.1:60751        127.0.0.1:60752        ESTABLISHED     23580
  TCP    127.0.0.1:60752        127.0.0.1:60751        ESTABLISHED     23580
  TCP    127.0.0.1:60753        127.0.0.1:60754        ESTABLISHED     23580
  TCP    127.0.0.1:60754        127.0.0.1:60753        ESTABLISHED     23580
  TCP    127.0.0.1:60755        127.0.0.1:60756        ESTABLISHED     23580
  TCP    127.0.0.1:60756        127.0.0.1:60755        ESTABLISHED     23580
  TCP    127.0.0.1:60757        127.0.0.1:60758        ESTABLISHED     23580
  TCP    127.0.0.1:60758        127.0.0.1:60757        ESTABLISHED     23580
  TCP    127.0.0.1:60759        127.0.0.1:60760        ESTABLISHED     23580
