GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.gating.utility,Utility,51,0,10,0,8,0,8,0,3,0
JaCoCo Coverage Report,com.gating.utility,InvalidInputException,13,0,0,0,2,0,1,0,1,0
JaCoCo Coverage Report,com.gating.service,ProcessUtility,50,0,0,0,12,0,2,0,2,0
JaCoCo Coverage Report,com.gating.service,GatingService,377,0,18,0,80,0,14,0,5,0
JaCoCo Coverage Report,com.gating.service,QualityParameters,59,0,0,0,25,0,17,0,17,0
JaCoCo Coverage Report,com.gating.service,GatingServiceTest,23,0,0,0,7,0,3,0,3,0
JaCoCo Coverage Report,com.gating.controller,GatingToolErrorAdvice,23,0,0,0,5,0,3,0,3,0
JaCoCo Coverage Report,com.gating.controller,GatingController,131,0,4,0,33,0,16,0,14,0
JaCoCo Coverage Report,com.gating.toolconfig.service,SimianConfigService,73,0,2,0,22,0,4,0,3,0
JaCoCo Coverage Report,com.gating.toolconfig.service,ThresholdConfig,46,0,0,0,19,0,13,0,13,0
JaCoCo Coverage Report,com.gating.toolconfig.service,PMDConfigService,72,0,2,0,20,0,4,0,3,0
JaCoCo Coverage Report,com.gating.toolconfig.service,SimianConfig,10,0,0,0,4,0,3,0,3,0
JaCoCo Coverage Report,com.gating.toolconfig.service,ThresholdConfigService,128,0,2,0,32,0,4,0,3,0
JaCoCo Coverage Report,com.gating.toolconfig.service,PMDConfig,10,0,0,0,4,0,3,0,3,0
JaCoCo Coverage Report,com.gating.toolconfig.service,VCGConfig,3,0,0,0,1,0,1,0,1,0
JaCoCo Coverage Report,com.gating.toolconfig.service,ToolResponse,64,0,0,0,20,0,10,0,10,0
JaCoCo Coverage Report,com.gating,Application,8,0,0,0,3,0,2,0,2,0
JaCoCo Coverage Report,com.gating.staticanalysis.service,CyvisService,305,0,12,0,64,0,13,0,7,0
JaCoCo Coverage Report,com.gating.staticanalysis.service,PMDServiceTest,115,0,0,0,22,0,5,0,5,0
JaCoCo Coverage Report,com.gating.staticanalysis.service,JacocoService,468,0,12,0,95,0,15,0,9,0
JaCoCo Coverage Report,com.gating.staticanalysis.service,VCGService,198,0,14,0,46,0,12,0,5,0
JaCoCo Coverage Report,com.gating.staticanalysis.service,SimianService,209,0,8,0,49,0,9,0,5,0
JaCoCo Coverage Report,com.gating.staticanalysis.service,CyvisServiceTest,73,0,0,0,16,0,4,0,4,0
JaCoCo Coverage Report,com.gating.staticanalysis.service,SimianServiceTest,62,0,0,0,15,0,4,0,4,0
JaCoCo Coverage Report,com.gating.staticanalysis.service,PMDService,152,0,10,0,37,0,9,0,4,0
JaCoCo Coverage Report,com.gating.staticanalysis.service,JacocoResponse,29,0,0,0,12,0,6,0,6,0
JaCoCo Coverage Report,com.gating.staticanalysis.service,VCGServiceTest,46,0,0,0,11,0,3,0,3,0
